시도명,시군구명_NEW,시군구명,읍면동명,리명
경상남도,밀양시,밀양시,가곡동,
경상남도,거제시,거제시,,
경상남도,거제시,거제시,일운면,
경상남도,거제시,거제시,동부면,
경상남도,거제시,거제시,남부면,
경상남도,거제시,거제시,거제면,
경상남도,거제시,거제시,둔덕면,
경상남도,거제시,거제시,사등면,
경상남도,거제시,거제시,연초면,
경상남도,거제시,거제시,하청면,
경상남도,거제시,거제시,장목면,
경상남도,거제시,거제시,장승포동,
경상남도,거제시,거제시,능포동,
경상남도,거제시,거제시,아주동,
경상남도,거제시,거제시,옥포1동,
경상남도,거제시,거제시,옥포2동,
경상남도,거제시,거제시,장평동,
경상남도,거제시,거제시,고현동,
경상남도,거제시,거제시,상문동,
경상남도,거제시,거제시,수양동,
경상남도,양산시,양산시,,
경상남도,양산시,양산시,물금읍,
경상남도,양산시,양산시,동면,
경상남도,양산시,양산시,원동면,
경상남도,양산시,양산시,상북면,
경상남도,양산시,양산시,하북면,
경상남도,양산시,양산시,중앙동,
경상남도,양산시,양산시,양주동,
경상남도,양산시,양산시,삼성동,
경상남도,양산시,양산시,강서동,
경상남도,양산시,양산시,서창동,
경상남도,양산시,양산시,소주동,
경상남도,양산시,양산시,평산동,
경상남도,양산시,양산시,덕계동,
경상남도,의령군,의령군,,
경상남도,의령군,의령군,의령읍,
경상남도,의령군,의령군,가례면,
경상남도,의령군,의령군,칠곡면,
경상남도,의령군,의령군,대의면,
경상남도,의령군,의령군,화정면,
경상남도,의령군,의령군,용덕면,
경상남도,의령군,의령군,정곡면,
경상남도,의령군,의령군,지정면,
경상남도,의령군,의령군,낙서면,
경상남도,의령군,의령군,부림면,
경상남도,의령군,의령군,봉수면,
경상남도,의령군,의령군,궁류면,
경상남도,의령군,의령군,유곡면,
경상남도,함안군,함안군,,
경상남도,함안군,함안군,가야읍,
경상남도,함안군,함안군,칠원읍,
경상남도,함안군,함안군,함안면,
경상남도,함안군,함안군,군북면,
경상남도,함안군,함안군,법수면,
경상남도,함안군,함안군,대산면,
경상남도,함안군,함안군,칠서면,
경상남도,함안군,함안군,칠북면,
경상남도,함안군,함안군,산인면,
경상남도,함안군,함안군,여항면,
경상남도,창녕군,창녕군,,
경상남도,창녕군,창녕군,창녕읍,
경상남도,창녕군,창녕군,남지읍,
경상남도,창녕군,창녕군,고암면,
경상남도,창녕군,창녕군,성산면,
경상남도,창녕군,창녕군,대합면,
경상남도,창녕군,창녕군,이방면,
경상남도,창녕군,창녕군,유어면,
경상남도,창녕군,창녕군,대지면,
경상남도,창녕군,창녕군,계성면,
경상남도,창녕군,창녕군,영산면,
경상남도,창녕군,창녕군,장마면,
경상남도,창녕군,창녕군,도천면,
경상남도,창녕군,창녕군,길곡면,
경상남도,창녕군,창녕군,부곡면,
경상남도,고성군,고성군,,
경상남도,고성군,고성군,고성읍,
경상남도,고성군,고성군,삼산면,
경상남도,고성군,고성군,하일면,
경상남도,고성군,고성군,하이면,
경상남도,고성군,고성군,상리면,
경상남도,고성군,고성군,대가면,
경상남도,고성군,고성군,영현면,
경상남도,고성군,고성군,영오면,
경상남도,고성군,고성군,개천면,
경상남도,고성군,고성군,구만면,
경상남도,고성군,고성군,회화면,
경상남도,고성군,고성군,마암면,
경상남도,고성군,고성군,동해면,
경상남도,고성군,고성군,거류면,
경상남도,남해군,남해군,,
경상남도,남해군,남해군,남해읍,
경상남도,남해군,남해군,이동면,
경상남도,남해군,남해군,상주면,
경상남도,남해군,남해군,삼동면,
경상남도,남해군,남해군,미조면,
경상남도,남해군,남해군,남면,
경상남도,남해군,남해군,서면,
경상남도,남해군,남해군,고현면,
경상남도,남해군,남해군,설천면,
경상남도,남해군,남해군,창선면,
경상남도,하동군,하동군,,
경상남도,하동군,하동군,하동읍,
경상남도,하동군,하동군,화개면,
경상남도,하동군,하동군,악양면,
경상남도,하동군,하동군,적량면,
경상남도,하동군,하동군,횡천면,
경상남도,하동군,하동군,고전면,
경상남도,하동군,하동군,금남면,
경상남도,하동군,하동군,금성면,
경상남도,하동군,하동군,진교면,
경상남도,하동군,하동군,양보면,
경상남도,하동군,하동군,북천면,
경상남도,하동군,하동군,청암면,
경상남도,하동군,하동군,옥종면,
경상남도,산청군,산청군,,
경상남도,산청군,산청군,산청읍,
경상남도,산청군,산청군,차황면,
경상남도,산청군,산청군,오부면,
경상남도,산청군,산청군,생초면,
경상남도,산청군,산청군,금서면,
경상남도,산청군,산청군,삼장면,
경상남도,산청군,산청군,시천면,
경상남도,산청군,산청군,단성면,
경상남도,산청군,산청군,신안면,
경상남도,산청군,산청군,생비량면,
경상남도,산청군,산청군,신등면,
경상남도,함양군,함양군,,
경상남도,함양군,함양군,함양읍,
경상남도,함양군,함양군,마천면,
경상남도,함양군,함양군,휴천면,
경상남도,함양군,함양군,유림면,
경상남도,함양군,함양군,수동면,
경상남도,함양군,함양군,지곡면,
경상남도,함양군,함양군,안의면,
경상남도,함양군,함양군,서하면,
경상남도,함양군,함양군,서상면,
경상남도,함양군,함양군,백전면,
